file_id,file_name,file_path,Cell Line,Fluorescent Protein,Plate Barcode,Position Index,Protein,Scene Index,Solution,Well Group,Well Label,Instrument,Camera,EMT_occurs,dimensionality,expt_condition,compaction/cell death onset (timeframe),migration onset (timeframe),substantial migrating cell mixing,time at cell mixing (timeframe),"colony touches edges? (0 = no, 1 = barely, 2 = moderately, 3 = alot)",x_slice_start,x_slice_stop,y_slice_start,y_slice_stop,"quantitative_analysis_tractability (5 = high, 1 = low, 0 = unusable)",q_analyzed,Notes
eb4567e54cff4f34a54af2be079fbea6,3500005834_20230929_20X_timelapse-01(P52-F8).ome.tiff,/allen/programs/allencell/data/proj0/ea6/9fb/e07/f2b/54a/34a/f4f/4cf/7e5/456/eb/3500005834_20230929_20X_timelapse-01(P52-F8).ome.tiff,AICS-23,mEGFP,3500005834,52,tight junction protein ZO-1,55,2D MG EMT 1:60 MG|CHIR99021|Diluted Matrigel|B27-/RPMI|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12,,F8,ZSD-1,2,TRUE,2,2D MG EMT 1:60MG,8,49,FALSE,nan,0,None,None,None,None,5,TRUE,low cell death; pretty nice example
2518a5d3e48a4a36a4b349f2d816b896,3500005806_20230908_20x_Timelapse_matrigel-01(P53-F6).ome.tiff,/allen/programs/allencell/data/proj0/896/16b/2d8/49f/4b3/36a/a4a/e48/5d3/18a/25/3500005806_20230908_20x_Timelapse_matrigel-01(P53-F6).ome.tiff,AICS-23,mEGFP,3500005806,53,tight junction protein ZO-1,46,Fibronectin|rhLaminin-521|CHIR99021|Diluted Matrigel|B27-/RPMI|2D PLF EMT 1:60 MG|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12|Poly-D-Lysine,,F6,ZSD-0,2,TRUE,2,2D MG EMT 1:60MG,6,42,FALSE,nan,0,None,None,None,None,5,TRUE,low cell death; otherwise very good
7ad9045be11f443daab18c72cb67edf4,3500005806_20230908_20x_Timelapse_matrigel-01(P55-F6).ome.tiff,/allen/programs/allencell/data/proj0/df4/67e/2cb/8c7/ab1/3da/f44/e11/45b/d90/7a/3500005806_20230908_20x_Timelapse_matrigel-01(P55-F6).ome.tiff,AICS-23,mEGFP,3500005806,55,tight junction protein ZO-1,45,Fibronectin|rhLaminin-521|CHIR99021|Diluted Matrigel|B27-/RPMI|2D PLF EMT 1:60 MG|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12|Poly-D-Lysine,,F6,ZSD-0,2,TRUE,2,2D MG EMT 1:60MG,7,43,FALSE,nan,0,None,None,None,None,5,TRUE,low cell death; otherwise very good
e5bd362f43e74f8bb94ffcb894a7427e,3500005829_20230922_20X_timelapse-02(P12-F11).ome.tiff,/allen/programs/allencell/data/proj0/27e/a74/894/fcb/94f/8bb/74f/43e/62f/bd3/e5/3500005829_20230922_20X_timelapse-02(P12-F11).ome.tiff,AICS-23,mEGFP,3500005829,12,tight junction protein ZO-1,48,2D MG EMT 1:60 MG|CHIR99021|Diluted Matrigel|B27-/RPMI|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12,,F11,ZSD-0,2,TRUE,2,2D MG EMT 1:60MG,7,41,FALSE,nan,2,None,None,None,None,4,TRUE,low cell death
aaf45f3586b04c3e83fe5aca54507bce,3500005829_20230922_20X_timelapse-02(P57-F10).ome.tiff,/allen/programs/allencell/data/proj0/bce/507/a54/5ac/3fe/3e8/04c/86b/f35/f45/aa/3500005829_20230922_20X_timelapse-02(P57-F10).ome.tiff,AICS-23,mEGFP,3500005829,57,tight junction protein ZO-1,46,2D MG EMT 1:60 MG|CHIR99021|Diluted Matrigel|B27-/RPMI|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12,,F10,ZSD-0,2,TRUE,2,2D MG EMT 1:60MG,6,46,FALSE,nan,0,None,None,None,None,4,TRUE,low cell death
a77693426cd640d38eb8363f5918be47,3500005829_20230922_20X_timelapse-02(P56-F7).ome.tiff,/allen/programs/allencell/data/proj0/e47/18b/f59/363/eb8/d38/640/6cd/342/769/a7/3500005829_20230922_20X_timelapse-02(P56-F7).ome.tiff,AICS-23,mEGFP,3500005829,56,tight junction protein ZO-1,44,2D MG EMT 1:60 MG|CHIR99021|Diluted Matrigel|B27-/RPMI|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12,,F7,ZSD-0,2,TRUE,2,2D MG EMT 1:60MG,5,49,FALSE,nan,0,None,None,None,None,4,TRUE,low cell death
1979203464404627b0fc243fdfde9c50,3500005698_20230609_20X_timelapse-01(P14-C8).ome.tiff,/allen/programs/allencell/data/proj0/c50/de9/fdf/243/0fc/27b/046/644/034/792/19/3500005698_20230609_20X_timelapse-01(P14-C8).ome.tiff,AICS-23,mEGFP,3500005698,14,tight junction protein ZO-1,13,2D PLF EMT 1:60 MG,,C8,ZSD-2,2,TRUE,2,2D PLF EMT 1:60MG,17,46,FALSE,nan,0,None,None,None,None,5,TRUE,no-low cell death
874e9e74bbeb44c69746c725ad7abeb0,3500005829_20230922_20X_timelapse-02(P50-F5).ome.tiff,/allen/programs/allencell/data/proj0/eb0/7ab/5ad/c72/746/c69/b44/bbe/e74/4e9/87/3500005829_20230922_20X_timelapse-02(P50-F5).ome.tiff,AICS-23,mEGFP,3500005829,50,tight junction protein ZO-1,41,Fibronectin|rhLaminin-521|CHIR99021|Diluted Matrigel|B27-/RPMI|2D PLF EMT 1:60 MG|Anti Collagen IV|Poly-D-Lysine,,F5,ZSD-0,2,TRUE,2,2D PLF EMT 1:60MG,0,56,FALSE,nan,0,None,None,None,None,4,TRUE,moderate cell death
12ed50758a0e4ecfa7a6c29213a42c37,3500005829_20230922_20X_timelapse-02(P27-D6).ome.tiff,/allen/programs/allencell/data/proj0/c37/a42/213/c29/7a6/cfa/e4e/8a0/075/ed5/12/3500005829_20230922_20X_timelapse-02(P27-D6).ome.tiff,AICS-23,mEGFP,3500005829,27,tight junction protein ZO-1,12,Fibronectin|rhLaminin-521|CHIR99021|Diluted Matrigel|B27-/RPMI|2D PLF EMT 1:60 MG|Anti Collagen IV|Poly-D-Lysine,,D6,ZSD-0,2,TRUE,2,2D PLF EMT 1:60MG,0,48,FALSE,nan,0,None,None,None,None,4,TRUE,moderate cell death
77fe346167824d7f8fe42afb67519572,3500005829_20230922_20X_timelapse-02(P25-D4).ome.tiff,/allen/programs/allencell/data/proj0/572/519/b67/2af/fe4/7f8/24d/678/461/fe3/77/3500005829_20230922_20X_timelapse-02(P25-D4).ome.tiff,AICS-23,mEGFP,3500005829,25,tight junction protein ZO-1,7,Fibronectin|rhLaminin-521|CHIR99021|Diluted Matrigel|B27-/RPMI|2D PLF EMT 1:60 MG|Anti Collagen IV|Poly-D-Lysine,,D4,ZSD-0,2,TRUE,2,2D PLF EMT 1:60MG,0,57,FALSE,nan,0,None,None,None,None,4,TRUE,moderate cell death
8afaca5df5ce46a895e2981e11f636d0,3500005698_20230609_20X_timelapse-01(P6-B8).ome.tiff,/allen/programs/allencell/data/proj0/6d0/f63/e11/981/5e2/a89/e46/f5c/a5d/fac/8a/3500005698_20230609_20X_timelapse-01(P6-B8).ome.tiff,AICS-23,mEGFP,3500005698,6,tight junction protein ZO-1,5,2D PLF EMT 1:60 MG,,B8,ZSD-2,2,TRUE,2,2D PLF EMT 1:60MG,4,49,FALSE,nan,0,None,None,None,None,4,TRUE,moderate cell death
6edcf841583843d98bd2688206527cbb,3500005834_20230929_20X_timelapse-01(P45-F5).ome.tiff,/allen/programs/allencell/data/proj0/cbb/527/206/688/bd2/d98/843/583/841/dcf/6e/3500005834_20230929_20X_timelapse-01(P45-F5).ome.tiff,AICS-23,mEGFP,3500005834,45,tight junction protein ZO-1,50,Fibronectin|rhLaminin-521|CHIR99021|Diluted Matrigel|B27-/RPMI|2D PLF EMT 1:60 MG|Anti Collagen IV|Poly-D-Lysine,,F5,ZSD-1,2,TRUE,2,2D PLF EMT 1:60MG,6,52,FALSE,nan,0,None,None,None,None,4,TRUE,moderate cell death; colony touches edge of acquisition window starting around T30
e8db9f87962b489ebbdf05d848d80244,3500005829_20230922_20X_timelapse-02(P67-G8).ome.tiff,/allen/programs/allencell/data/proj0/244/d80/848/05d/bdf/9eb/b48/962/f87/db9/e8/3500005829_20230922_20X_timelapse-02(P67-G8).ome.tiff,AICS-23,mEGFP,3500005829,67,tight junction protein ZO-1,60,Diluted Matrigel in mTeSR|3D MG EMT 1:60 MG|CHIR99021|Diluted Matrigel|B27-/RPMI|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12,,G8,ZSD-0,2,TRUE,3,3D MG EMT 1:60MG,8,55,FALSE,nan,1,None,None,None,None,5,TRUE,no-low cell death; lumenoid is close to ceiling of z-stack
2278696a9c844a6088d572c889eb383c,3500005834_20230929_20X_timelapse-01(P64-G7).ome.tiff,/allen/programs/allencell/data/proj0/83c/eb3/889/72c/8d5/608/44a/9c8/96a/786/22/3500005834_20230929_20X_timelapse-01(P64-G7).ome.tiff,AICS-23,mEGFP,3500005834,64,tight junction protein ZO-1,69,Diluted Matrigel in mTeSR|3D MG EMT 1:60 MG|CHIR99021|Diluted Matrigel|B27-/RPMI|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12,,G7,ZSD-1,2,TRUE,3,3D MG EMT 1:60MG,nan,62,FALSE,nan,1,None,None,None,None,5,TRUE,no-low cell death; signal is only decent; really nice example otherwise
301bc8c96888404ea20ab15f59b5f435,3500005834_20230929_20X_timelapse-01(P66-G7).ome.tiff,/allen/programs/allencell/data/proj0/435/b5f/f59/b15/20a/4ea/840/688/8c9/1bc/30/3500005834_20230929_20X_timelapse-01(P66-G7).ome.tiff,AICS-23,mEGFP,3500005834,66,tight junction protein ZO-1,68,Diluted Matrigel in mTeSR|3D MG EMT 1:60 MG|CHIR99021|Diluted Matrigel|B27-/RPMI|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12,,G7,ZSD-1,2,TRUE,3,3D MG EMT 1:60MG,nan,67,FALSE,nan,1,None,None,None,None,5,TRUE,no-low cell death; really nice example
3a461fcdd8244291a8d7c889f8f2e5ab,3500005834_20230929_20X_timelapse-01(P63-G8).ome.tiff,/allen/programs/allencell/data/proj0/5ab/f2e/9f8/c88/8d7/91a/442/d82/fcd/461/3a/3500005834_20230929_20X_timelapse-01(P63-G8).ome.tiff,AICS-23,mEGFP,3500005834,63,tight junction protein ZO-1,65,Diluted Matrigel in mTeSR|3D MG EMT 1:60 MG|CHIR99021|Diluted Matrigel|B27-/RPMI|Anti Collagen IV|Diluted Matrigel Lot 118001 + DMEM/F12,,G8,ZSD-1,2,TRUE,3,3D MG EMT 1:60MG,nan,64,FALSE,nan,1,None,None,None,None,5,TRUE,no-low cell death; really nice example
